Standingstill,Distance covered,Mean,Max distance covered,Starting -ending position,Label
17,1187.119322,1.978532203,72.68964279,249.0732497,jump
12,1951.052484,3.25175414,64.80030466,1108.60569,jump
27,1410.466667,2.350777778,79.68916578,653.2391599,jump
196,274.7728123,0.457954687,16.83657314,53.09247066,jump
33,1136.814028,1.894690046,31.47100497,846.7484399,jump
109,758.9548182,1.264924697,32.5482924,205.9232332,jump
31,996.655851,1.661093085,28.37376218,291.0363274,jump
7,1117.449093,1.862415156,34.04892049,73.60871673,jump
67,723.0802352,1.205133725,21.91099926,41.86367899,jump
38,1281.723766,2.136206276,56.68317977,279.6628272,jump
17,1207.933726,2.013222876,33.46512247,169.7658623,jump
48,786.7228822,1.311204804,36.6697199,219.738115,jump
102,535.5346069,0.892557678,24.84617666,241.5291157,jump
45,1036.31559,1.72719265,30.80658921,147.634226,jump
56,964.6104899,1.60768415,35.66954376,164.2438789,jump
47,729.5439126,1.215906521,25.47009735,199.9646156,jump
36,773.8321879,1.289720313,28.26717541,152.0690285,jump
33,779.583037,1.299305062,34.20453234,26.53970454,jump
42,730.6258706,1.217709784,34.43891009,82.38375739,jump
25,862.2967324,1.437161221,33.0701061,104.5885714,jump
35,752.9467917,1.254911319,21.10949649,85.35561063,jump
36,798.0545922,1.330090987,35.05926432,49.04319388,jump
29,809.2126287,1.348687715,25.56358479,205.0401301,jump
107,705.2854859,1.17547581,44.70996365,62.85265075,jump
75,608.8086587,1.014681098,32.02624342,402.5192755,jump
60,774.943998,1.29157333,26.4844487,325.3847758,jump
50,749.2127723,1.248687954,14.93890504,52.78983085,jump
30,808.2005873,1.347000979,16.56996826,155.1796149,jump
11,959.7125616,1.599520936,23.61739074,142.9591263,jump
33,835.9975354,1.393329226,19.06332381,195.1890872,jump
66,697.6757489,1.162792915,51.89131109,120.070645,jump
53,679.7710923,1.13295182,35.66786645,77.51244276,jump
16,774.8136845,1.291356141,25.05072749,25.6337651,jump
24,749.6587501,1.24943125,24.73874342,95.17713842,jump
14,859.5989629,1.432664938,23.04682751,105.4636898,jump
10,737.1106939,1.228517823,26.21679848,224.3208861,jump
24,739.6453028,1.232742171,33.17466237,152.758583,jump
95,860.8814278,1.43480238,50.39620421,208.7624359,jump
68,717.7855914,1.196309319,27.59187588,325.2363442,jump
38,694.6708889,1.157784815,32.52711064,83.54921101,jump
45,660.2609288,1.100434881,20.02373853,92.897424,jump
41,1026.68601,1.711143349,29.9676792,434.7859823,jump
111,787.3681801,1.3122803,26.95592503,245.3173032,jump
5,1116.184445,1.860307408,48.43235434,295.5177587,jump
11,939.1684478,1.565280746,27.67730382,96.06619074,jump
21,972.1477169,1.620246195,30.2074508,302.4806813,jump
29,864.4926742,1.440821124,22.05840235,187.100168,jump
44,1052.653476,1.75442246,21.3880343,112.2072226,jump
56,942.0689679,1.570114947,24.48016349,126.19548,jump
22,781.3074563,1.302179094,19.86450426,191.6854976,jump
29,787.3663748,1.312277291,38.39938691,270.0289997,jump
40,824.8100086,1.374683348,24.08158696,88.58462726,jump
62,778.3667443,1.297277907,21.30956429,178.3967477,jump
30,928.0409147,1.546734858,48.88252091,52.25870568,jump
71,830.0703176,1.383450529,26.16803864,79.57833249,jump
69,774.511506,1.29085251,30.22489056,46.57005349,jump
79,644.5478129,1.074246355,19.84442968,53.08549046,jump
18,901.7452471,1.502908745,21.12502583,169.7988402,jump
13,1045.110984,1.741851641,17.91787759,145.1449472,jump
63,758.7612521,1.264602087,49.27279753,64.33756586,jump
96,712.5447803,1.187574634,45.34176046,55.62832953,jump
52,643.2575975,1.072095996,20.35649513,129.5942374,jump
50,696.6494868,1.161082478,24.16031223,104.4986033,jump
23,1106.226888,1.84371148,37.70441562,53.90488894,jump
16,1223.568094,2.039280156,43.94160314,131.0587987,jump
29,1083.328778,1.805547964,48.95084797,164.3294606,jump
27,1108.641178,1.847735297,41.79686864,234.4936112,jump
52,900.3728984,1.500621497,58.00816858,227.5904453,jump
16,1171.368225,1.952280375,83.99828123,146.2330806,jump
23,1160.24278,1.933737967,52.079221,149.8871877,jump
41,888.1844209,1.480307368,22.81674477,225.3266204,jump
49,936.3764971,1.560627495,51.12854844,70.78283601,jump
50,1051.632201,1.752720335,66.58489668,786.549276,jump
85,914.5372784,1.524228797,50.15109637,501.3288399,jump
34,922.1739064,1.536956511,25.12293352,168.5818812,jump
38,1001.362438,1.668937397,41.94513708,252.5083363,jump
55,891.552605,1.485921008,43.58761566,541.5852459,jump
26,860.7633431,1.434605572,45.34644299,352.187049,jump
86,720.7800196,1.201300033,48.32262458,362.3719304,jump
51,890.9343344,1.484890557,30.30972701,32.95819122,jump
18,909.1382278,1.51523038,17.72008033,28.35118256,jump
17,1160.318821,1.933864701,43.11090361,66.63842921,jump
31,741.4366035,1.235727672,24.05500477,62.5845365,jump
14,916.5474148,1.527579025,20.477638,494.586192,jump
132,559.5668543,0.932611424,21.63192443,171.8835361,jump
25,753.8296013,1.256382669,27.44940267,43.37864836,jump
20,756.5079663,1.26084661,15.56112727,159.8176257,jump
46,594.1778138,0.990296356,16.40496355,46.86209565,jump
47,681.1528693,1.135254782,17.51272571,196.5065534,jump
